단지명,전용면적,일일가격,위도,경도,지하철거리,환율,가장 가까운 버스정류장까지 거리(m),가장 가까운 버스정류장,1000m맛집,1000m문화공간,1000m문화재,1000m쇼핑,소비자물가지수,종합주가지수,주택담보대출금리,지하철역_을지로3가역,지하철역_동대문역사문화공원역,지하철역_동대입구역,지하철역_동묘앞역,지하철역_명동역,지하철역_버티고개역,지하철역_상왕십리역,지하철역_서대문역,지하철역_서울역,지하철역_시청역,지하철역_신금호역,지하철역_신당역,지하철역_신설동역,지하철역_약수역,지하철역_을지로4가역,지하철역_청구역,지하철역_충무로역,지하철역_충정로(경기대입구)역,지하철역_회현(남대문시장)역
WECOSTAY Myeongdong H,27.0,9.675,37.562917,126.997519,346.3935432,1304.4,133.2997636,충무로역8번출구.대한극장앞,63,21,40,8,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WECOSTAY Myeongdong E,26.0,10.0,37.563993,126.998569,296.3351481,1304.4,94.65330498,중구청앞.덕수중학교,59,20,33,13,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
어반스테이 명동 님이 호스팅하는 레지던스 전체,26.0,12.126,37.563745,126.992388,290.7416076,1304.4,77.78561066,초동,80,25,38,9,108.88,2391.6,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kay 님이 호스팅하는 레지던스 전체,26.0,10.0292,37.563968,126.99389,282.1466818,1304.4,97.41757242,초동,82,23,35,6,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
효석 님이 호스팅하는 레지던스 전체,26.0,9.7978,37.563499,126.992341,275.9016781,1304.4,70.19177539,초동,81,25,43,9,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WECOSTAY Myeongdong 님이 호스팅하는 레지던스 전체1,27.0,10.125,37.563132,126.9986,390.5281103,1304.4,106.7975576,퇴계로5가,60,20,34,10,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WECOSTAY Myeongdong 님이 호스팅하는 레지던스 전체2,26.0,9.375,37.562566,126.996439,244.1968834,1304.4,58.88884006,충무로역8번출구.대한극장앞,72,21,46,9,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WECOSTAY Myeongdong 님이 호스팅하는 공동 주택 전체3,26.0,9.375,37.563965,126.996445,316.0663635,1304.4,174.6440405,중구청앞.덕수중학교,71,21,40,9,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
어반스테이 명동 님이 호스팅하는 레지던스 전체,26.0,12.126,37.562187,126.991241,263.859859,1304.4,114.1937777,퇴계로3가.한옥마을.한국의집,86,26,46,8,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kay 님이 호스팅하는 레지던스 전체,26.0,9.6509,37.563443,126.993319,233.1142717,1304.4,21.22404996,초동,80,23,41,7,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
어반스테이 명동 님이 호스팅하는 레지던스 전체1,26.0,13.7218,37.562272,126.993651,100.5826015,1304.4,68.56834803,충무로역.매일경제,81,23,40,7,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
어반스테이 명동 님이 호스팅하는 레지던스 전체2,26.0,13.7218,37.562549,126.99441,127.7356659,1304.4,131.2170533,충무로역.매일경제,81,22,39,6,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Kay 님이 호스팅하는 레지던스 전체,26.0,10.0292,37.564752,126.993186,216.9715124,1304.4,156.1756486,초동,79,21,31,6,108.88,2391.6,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
어반스테이 명동 님이 호스팅하는 레지던스 전체,26.0,13.7218,37.56216,126.993891,82.58452055,1304.4,68.43468774,충무로역.매일경제,81,23,40,7,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
효석 님이 호스팅하는 레지던스 전체,26.0,9.7978,37.563425,126.992299,271.2304847,1304.4,72.3521338,초동,81,25,43,9,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Mona 님이 호스팅하는 공동 주택의 개인실,14.0,6.65,37.560885,126.984467,164.56618,1304.4,2.34067529,퇴계로2가.명동역,129,31,69,11,108.88,2391.6,3.72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
어반스테이 명동 님이 호스팅하는 레지던스 전체,26.0,12.2482,37.563841,126.993995,267.6790558,1304.4,95.41783484,초동,77,23,35,6,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
StaynLive 님이 호스팅하는 공동 주택의 개인실,26.0,11.4375,37.5635593,127.0041315,163.4218249,1304.4,26.88234486,퇴계로6가,45,17,28,27,108.88,2391.6,3.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Terry 님이 호스팅하는 공동 주택 전체,26.0,8.5323,37.5572302,126.9793303,171.7007474,1304.4,159.5767766,남대문시장.회현역,100,25,67,8,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
[urbanstay] 도심 속 야경맛집 #명동 #힙지로 #통창 #취사가능 #시티뷰,26.0,28.2977,37.564021,126.9936994,289.4489038,1304.4,91.13084248,초동,83,23,36,6,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
urbanstay : 서울살이 로망을 실현해보세요 #취사가능 #long-termSTAY,26.0,22.5526,37.565504,126.99506,257.0164358,1304.4,162.9666986,을지로4가,66,19,29,5,108.88,2391.6,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[2]을지로3가역.충무로역 3분.명동.동대문,36.0,8.5,37.564255,126.993798,290.1010948,1304.4,117.6887305,초동,82,22,34,6,108.88,2391.6,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[저층특가] #urbanstay #레지던스 #취사가능 #장기투숙 #명동 #충무로,27.0,8.5,37.562663,126.992426,199.6915996,1304.4,97.05893187,초동,81,25,43,9,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WECOSTAY Myeongdong B,28.0,10.5,37.563297,126.998434,370.075977,1304.4,127.6771989,퇴계로5가,60,20,34,9,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"복층, 루프탑 바베큐, 2021년 리모델링, 패밀리분리형 객실",47.0,13.4343,37.556232,126.984005,566.3677695,1304.4,128.7077778,남산케이블카,81,22,46,8,108.88,2391.6,3.72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
#urbanstay #명동역 5분 # 힙지로 #취사OK #장기 #단기,27.0,10.4546,37.563857,126.992264,276.4037846,1304.4,93.9530897,초동,80,25,37,9,108.88,2391.6,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
��𝗿𝗯𝗮𝗻𝘀𝘁𝗮𝘆 명동역 5분 · 힙지로 속 편안함 #취사OK,27.0,10.4546,37.56253,126.992389,192.3954735,1304.4,110.8311269,초동,81,25,43,8,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[urbanstay] #고층배정 #명동역 5분 # 힙지로 #취사OK #장기 #단기,27.0,11.9538,37.562185,126.994024,83.9033401,1304.4,78.49100931,충무로역.매일경제,82,23,40,7,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
어반스테이: 명동의 사랑스러운 프라이빗 스튜디오,28.0,11.4569,37.562903,126.992304,226.1150535,1304.4,86.68036872,초동,81,25,43,9,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[저층특가] #urbanstay #레지던스 #취사가능 #장기투숙 #명동 #충무로,27.0,8.5,37.565337,126.993172,158.0928534,1304.4,152.5432704,을지로3가,79,21,29,6,108.88,2391.6,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"♥명동역3분♥ 아늑하고 편한 모임+ 감성유닛 T5 in 명동 (방역완료, 살균ing)",45.0,10.0,37.561527,126.984009,213.1601414,1304.4,82.22558812,퇴계로2가.명동역,140,34,76,11,108.88,2391.6,3.72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECOSTAY Myeongdong C 퀸+싱글(3인가능),36.0,12.5,37.561801,126.99784,335.4499196,1304.4,121.939059,충무로역8번출구.대한극장앞,60,20,40,8,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
SSH_Dongdaemun Basic Room(5_2) 06 / 여행은 살아보는거야,36.0,5.8,37.565017,127.002082,291.6181302,1304.4,49.01991444,베이튼호텔,54,14,30,26,108.88,2391.6,3.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECOSTAY Myeongdong G1 (1인실),15.0,11.5,37.563281,126.998669,375.4384057,1304.4,108.604517,퇴계로5가,59,20,34,14,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WECOSTAY Myeongdong C 퀸+싱글(3인가능),36.0,12.5,37.561801,126.99784,335.4499196,1304.4,121.939059,충무로역8번출구.대한극장앞,60,20,40,8,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Life Of Korean Classic,43.0,7.7,37.564348,127.008466,101.1224623,1304.4,25.81191922,광희문.광희동사거리,49,15,17,28,108.88,2391.6,3.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
어반스테이: 명동의 사랑스러운 프라이빗 스튜디오,27.0,11.4569,37.562903,126.992304,226.1150535,1304.4,86.68036872,초동,81,25,43,9,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
WECOSTAY Myeongdong D2 ( 싱글+싱글 베드),27.0,11.5,37.56315,126.998615,388.800198,1304.4,106.3197435,퇴계로5가,60,20,34,10,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
뷰가 아름답고 트렌디한 감성 숙소 #넷플릭스 #신당역도보1분,26.0,7.3,37.565461,127.016024,77.666421,1304.4,123.5804487,충무아트센터.스포츠센터.중부소방서,27,7,5,23,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
[New] 신당역 1분/# 도시야경/#넷플릭스/#6호선 /#2호선/ # The Vino,26.0,8.9,37.565083,127.017211,151.6006383,1304.4,153.0943221,신당역.중앙시장앞,24,7,4,23,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
SSH_Dongdaemun Basic Room(5_2) 06 / 여행은 살아보는거야,36.0,5.8,37.565017,127.002082,291.6181302,1304.4,49.01991444,베이튼호텔,54,14,30,26,108.88,2391.6,3.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECOSTAY Myeongdong B_9,26.0,10.5,37.56315,126.998615,388.800198,1304.4,106.3197435,퇴계로5가,60,20,34,10,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
[urbanstay] 도심 속 야경맛집 #명동 #힙지로 #통창 #취사가능 #시티뷰,27.0,12.4315,37.562903,126.992304,226.1150535,1304.4,86.68036872,초동,81,25,43,9,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"[쉼,]따뜻하고 석양이 아름다운 방, Cosy, Double bed, 힙지로",26.0,9.0,37.564144,126.992257,245.0218868,1304.4,116.3928929,초동,81,24,31,9,108.88,2391.6,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"♥ 욕조가 있는 감성유닛 T7 in 명동 (방역완료, 소독ing)",36.0,9.5,37.561522,126.983998,213.9391828,1304.4,82.26226452,퇴계로2가.명동역,137,34,76,11,108.88,2391.6,3.72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSH_Dongdaemun Basic Room(5) 06 / 여행은 살아보는거야,36.0,5.5,37.564987,127.002065,292.6814481,1304.4,50.50092823,베이튼호텔,54,14,30,26,108.88,2391.6,3.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSH_Dongdaemun Basic Room(1)_403 / 여행은 살아보는거야,26.0,4.7,37.564987,127.002065,292.6814481,1304.4,50.50092823,베이튼호텔,54,14,30,26,108.88,2391.6,3.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[쉼,]야경맛집 자연채광 넷플릭스 분위기맛집",26.0,10.0,37.565089,126.994218,229.4270755,1304.4,216.7244235,초동,73,21,30,6,108.88,2391.6,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[WinterEvent] [COMOCASA]서울의중심 # 106,26.0,7.7,37.562274,126.992076,199.6864499,1304.4,116.5932975,퇴계로3가.한옥마을.한국의집,78,25,43,8,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
urbanstay : 명동역 5분 · 힙지로 속 편안함 #취사OK,26.0,10.08,37.562249,126.99301,130.6400366,1304.4,70.44903306,충무로역.매일경제,82,24,40,7,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
#서울역5분 #초고층도시뷰 #욕조 #호텔로비 #장박할인,26.0,7.9498,37.55936,126.970781,237.3157728,1304.4,47.33363697,염천교,69,27,71,4,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
"♥ 자연광이 잘드는 명동 감성유닛 T3 (방역완료, 소독ing)",36.0,10.0,37.561501,126.984007,212.5401546,1304.4,79.86620193,퇴계로2가.명동역,137,34,76,11,108.88,2391.6,3.72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[FreeMeal][ComoCasa][R.SERVICE]서울의 중심 풀옵션 레지던스 #20,26.0,8.9,37.564024,126.994124,287.9400946,1304.4,116.8619374,초동,77,22,35,6,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"[쉼,]남산뷰 고층숙소",26.0,9.6,37.563383,126.993386,225.0741665,1304.4,24.5607813,초동,80,23,39,7,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
urbanstay : 서울살이 로망을 실현해보세요 #취사가능 #long-termSTAY,27.0,10.4244,37.563672,126.992412,288.8414588,1304.4,71.63867975,초동,80,25,38,9,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[FreeMeal][ComoCasa][R.SERVICE]서울의 중심 풀옵션 레지던스 #16,26.0,9.9,37.56209,126.992698,141.7849716,1304.4,75.4468392,충무로역.매일경제,81,25,40,6,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[urbanstay] 도심 속 야경맛집 #명동 #힙지로 #통창 #취사가능 #시티뷰,27.0,13.2319,37.563185,126.993238,208.2558052,1304.4,21.06713856,초동,80,24,39,7,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[urbanstay] 도심 속 야경맛집 #명동 #힙지로 #통창 #취사가능 #시티뷰,27.0,13.2319,37.563035,126.995075,198.9609142,1304.4,152.3353718,충무로역.호텔피제이,77,27,48,10,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[저층특가] #urbanstay #레지던스 #취사가능 #장기투숙 #명동 #충무로,27.0,8.55,37.562636,126.992451,196.030547,1304.4,98.08662296,초동,81,25,43,9,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Life Of Korean Classic,43.0,7.7,37.56434,127.008456,101.4462422,1304.4,27.02320757,광희문.광희동사거리,49,15,17,28,108.88,2391.6,3.72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SSH_Dongdaemun Basic Room(5_2) 06 / 여행은 살아보는거야,37.0,5.5,37.564618,127.000292,309.7734621,1304.4,190.9102375,중구청앞.덕수중학교,58,19,32,14,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"[쉼,]야경맛집, 계정제공 넷플릭스,명동, 충무로, 을지로 깨끗한 숙소",26.0,10.0,37.564704,126.993192,221.5458841,1304.4,150.8769952,초동,79,21,31,6,108.88,2391.6,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"을지로 Chillin' inn(시티뷰/복층/파티룸/을지로4가/2,4,1,5호선 도보 5분)",45.0,9.6607,37.565025,127.000403,287.3342188,1304.4,187.8701029,을지로5가.중부시장,54,16,31,17,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
어반스테이: 명동의 사랑스러운 프라이빗 스튜디오,28.0,12.3255,37.562903,126.992304,226.1150535,1304.4,86.68036872,초동,81,25,43,9,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[New] 신당역 1분/# 도시야경/#넷플릭스/#6호선 /#2호선/ # The Vino,26.0,8.9,37.565017,127.017156,154.5545466,1304.4,160.8704375,신당역.중앙시장앞,24,7,4,23,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"urbanstay : 호텔처럼 깔끔하고, 내 집처럼 편안한 #명동역 #충무로역",26.0,9.52,37.5655045,126.9938104,170.9665821,1304.4,174.0368829,을지로3가,73,21,30,6,108.88,2391.6,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[저층특가] #urbanstay #레지던스 #취사가능 #장기투숙 #명동 #충무로,26.0,8.5,37.563821,126.992432,283.3673568,1304.4,79.91560786,초동,80,25,37,9,108.88,2391.6,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"♥명동역3분♥ 아늑하고 편한 모임+ 감성유닛 T5 in 명동 (방역완료, 살균ing)",45.0,13.0,37.561656,126.983582,253.4068822,1304.4,116.6974639,퇴계로2가.명동역,138,34,79,11,108.88,2391.6,3.72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"화이트 우드 인테리어, 복층 스위트가족실,남산타워 3분,루프탑 드라마촬영,남산타워 뷰",47.0,15.723,37.55802,126.985798,332.7973824,1304.4,139.7107993,서울애니메이션센터,90,25,56,8,108.88,2391.6,3.72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
[UH SUITE]#더명동#객실 내 풀스파#명동역 도보 1분(넷플릭스 가능)#A,58.0,37.0,37.557981,126.985842,336.5688933,1304.4,137.9388597,서울애니메이션센터,85,24,47,8,108.88,2391.6,3.72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
어반스테이 명동 님이 호스팅하는 레지던스 전체,27.0,8.55,37.565788,126.992372,82.89842044,1304.4,82.99888117,을지로3가,82,21,30,10,108.88,2391.6,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECOSTAY Myeongdong C 퀸+싱글(3인가능),36.0,12.5,37.561717,126.997785,329.5967317,1304.4,119.6280821,충무로역8번출구.대한극장앞,60,20,40,8,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"복층스위트실, Netflix가능,남산타워 3분,루프탑 드라마촬영,남산타워 뷰, 할인행사 중",47.0,15.723,37.55651,126.984437,524.3585795,1304.4,171.2202128,남산케이블카,79,22,47,8,108.88,2391.6,3.72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"♥Promotion♥T4 프라이빗 모임 + 감성유닛 in 명동 (방역OK, 소독ing)",44.0,10.0,37.561652,126.98474,158.1956956,1304.4,87.01573355,퇴계로2가.명동역,134,32,68,11,108.88,2391.6,3.72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urbanstay :서울살이 로망을 실현해보세요 #취사가능 #long-termSTAY,27.0,9.01,37.565788,126.992372,82.89842044,1304.4,82.99888117,을지로3가,82,21,30,10,108.88,2391.6,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"#urbanstay #명동역 5분 # 힙지로 #취사OK #장기 #단기
",26.0,8.5,37.5631237,126.9951313,209.9906495,1304.4,160.5584129,충무로역.호텔피제이,77,27,48,10,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"urbanstay : 호텔처럼 깔끔하고, 내 집처럼 편안한 #명동역 #충무로역",26.0,8.5,37.5655045,126.9938104,170.9665821,1304.4,174.0368829,을지로3가,73,21,30,6,108.88,2391.6,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
urbanstay : 도심 속 야경맛집 #명동 #힙지로 #통창 #취사가능,26.0,9.5,37.5628091,126.9913212,287.2220841,1304.4,169.0641666,초동,89,26,46,8,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"urbanstay : Lovely Private Studio in Myeong-dong
",26.0,8.5,37.5651629,126.9942512,225.1578335,1304.4,225.3704853,초동,73,20,30,6,108.88,2391.6,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"복층 개인 테라스 룸, 바베큐 가능, 명동 뷰, 남산 케이블카 3분거리, 명동역 5분",44.0,31.8532,37.5577331,126.9841036,411.228159,1304.4,99.72055257,남산오르미,99,26,63,8,108.88,2391.6,3.72,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
WECOSTAY Myeongdong B,26.0,12.5,37.5631199,126.9996349,417.7993138,1304.4,38.51584656,퇴계로5가,56,18,33,14,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
시청역 빈티지 로컬 코리빙 스테이 (트리플) [Local Stitch City hall],37.0,20.0,37.5624806,126.9777214,238.2729772,1304.4,87.82067337,숭례문앞,141,38,96,9,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
WECOSTAY Myeongdong C 퀸+싱글(3인가능),36.0,14.5,37.5610516,126.9970138,259.7841186,1304.4,118.6944087,충무로역8번출구.대한극장앞,62,21,40,8,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
[New] 신당역 1분/# 도시야경/#넷플릭스/#6호선 /#2호선/ # The Vino,26.0,14.5567,37.5649193,127.0195025,80.59354067,1304.4,63.59545384,신당역.중앙시장앞,18,6,4,16,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"[저층특가] #urbanstay #레지던스 #취사가능 #장기투숙 #명동 #충무로
",26.0,11.0,37.5655045,126.9938104,170.9665821,1304.4,174.0368829,을지로3가,73,21,30,6,108.88,2391.6,3.72,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"[FreeMeal][ComoCasa][R.SERVICE]서울의 중심 풀옵션 레지던스 #04
",26.0,17.4,37.5628091,126.9913212,287.2220841,1304.4,169.0641666,초동,89,26,46,8,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"WECOSTAY Myeongdong G1 (1인실)
",14.0,13.5,37.563482,126.9993289,370.4279025,1304.4,85.37902416,퇴계로5가,59,20,34,14,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Room 3. Myeongdong. Namsan. Rooftop,47.0,20.4484,37.5570682,126.9823881,399.6176357,1304.4,141.2993603,남산오르미,99,24,59,8,108.88,2391.6,3.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
